context_id	origin_group	partition	lineage	source_metadata_tissue	normalized_id	expression_column	core_label	has_expression	has_core	reason
RE:RXF 393	RE:RXF 393	test	renal	Renal	RXF393	RE:RXF 393	RXF 393	True	True	matched profile, not in 11-line exposure list
CNS:SF-268	CNS:SF-268	test	central nervous system	Central nervous system	SF268	CNS:SF-268	SF-268	True	True	matched profile, not in 11-line exposure list
CNS:SF-295	CNS:SF-295	test	central nervous system	Central nervous system	SF295	CNS:SF-295	SF-295	True	True	matched profile, not in 11-line exposure list
CNS:SF-539	CNS:SF-539	test	central nervous system	Central nervous system	SF539	CNS:SF-539	SF-539	True	True	matched profile, not in 11-line exposure list
ME:SK-MEL-2	ME:SK-MEL-2	test	melanoma	Melanoma	SKMEL2	ME:SK-MEL-2	SK-MEL-2	True	True	matched profile, not in 11-line exposure list
ME:SK-MEL-28	ME:SK-MEL-28	test	melanoma	Melanoma	SKMEL28	ME:SK-MEL-28	SK-MEL-28	True	True	matched profile, not in 11-line exposure list
ME:SK-MEL-5	ME:SK-MEL-5	test	melanoma	Melanoma	SKMEL5	ME:SK-MEL-5	SK-MEL-5	True	True	matched profile, not in 11-line exposure list
OV:SK-OV-3	OV:SK-OV-3	test	ovary	Ovarian	SKOV3	OV:SK-OV-3	SK-OV-3	True	True	matched profile, not in 11-line exposure list
RE:SN12C	RE:SN12C	test	renal	Renal	SN12C	RE:SN12C	SN12C	True	True	matched profile, not in 11-line exposure list
CNS:SNB-19	SNB-19_U251	test	central nervous system	Central nervous system	SNB19	CNS:SNB-19	SNB-19	True	True	matched profile, not in 11-line exposure list
CNS:SNB-75	CNS:SNB-75	test	central nervous system	Central nervous system	SNB75	CNS:SNB-75	SNB-75	True	True	matched profile, not in 11-line exposure list
LE:SR	LE:SR	development	leukemia	Leukemia	SR	LE:SR	SR	True	True	previous source-label exposure; development only
CO:SW-620	CO:SW-620	test	colon	Colon	SW620	CO:SW-620	SW620	True	True	matched profile, not in 11-line exposure list
BR:T-47D	BR:T-47D	test	breast	Breast	T47D	BR:T-47D	T-47D	True	True	matched profile, not in 11-line exposure list
RE:TK-10	RE:TK-10	test	renal	Renal	TK10	RE:TK-10	TK-10	True	True	matched profile, not in 11-line exposure list
CNS:U251	SNB-19_U251	test	central nervous system	Central nervous system	U251	CNS:U251	U251	True	True	matched profile, not in 11-line exposure list
ME:UACC-257	ME:UACC-257	test	melanoma	Melanoma	UACC257	ME:UACC-257	UACC-257	True	True	matched profile, not in 11-line exposure list
ME:UACC-62	ME:UACC-62	test	melanoma	Melanoma	UACC62	ME:UACC-62	UACC-62	True	True	matched profile, not in 11-line exposure list
RE:UO-31	RE:UO-31	development	renal	Renal	UO31	RE:UO-31	UO-31	True	True	previous source-label exposure; development only
