metabolite_id	exchange_id	context_i	context_j	origin_i	origin_j	truth
core_002	EX_34hpp_e	CO:HT29	LC:HOP-62	CO:HT29	LC:HOP-62	1
core_002	EX_34hpp_e	CO:HT29	LC:HOP-92	CO:HT29	LC:HOP-92	1
core_002	EX_34hpp_e	CO:HT29	LC:NCI-H226	CO:HT29	LC:NCI-H226	1
core_002	EX_34hpp_e	CO:HT29	LE:RPMI-8226	CO:HT29	LE:RPMI-8226	1
core_002	EX_34hpp_e	CO:HT29	LE:SR	CO:HT29	LE:SR	1
core_002	EX_34hpp_e	CO:HT29	ME:MALME-3M	CO:HT29	ME:MALME-3M	1
core_002	EX_34hpp_e	CO:HT29	RE:786-0	CO:HT29	RE:786-0	1
core_002	EX_34hpp_e	CO:HT29	RE:UO-31	CO:HT29	RE:UO-31	1
core_002	EX_34hpp_e	LC:HOP-62	ME:MALME-3M	LC:HOP-62	ME:MALME-3M	-1
core_002	EX_34hpp_e	LC:HOP-62	RE:UO-31	LC:HOP-62	RE:UO-31	-1
core_002	EX_34hpp_e	LC:HOP-92	LE:RPMI-8226	LC:HOP-92	LE:RPMI-8226	-1
core_002	EX_34hpp_e	LC:HOP-92	ME:MALME-3M	LC:HOP-92	ME:MALME-3M	-1
core_002	EX_34hpp_e	LC:HOP-92	RE:UO-31	LC:HOP-92	RE:UO-31	-1
core_002	EX_34hpp_e	LC:NCI-H226	ME:MALME-3M	LC:NCI-H226	ME:MALME-3M	-1
core_002	EX_34hpp_e	LC:NCI-H226	RE:UO-31	LC:NCI-H226	RE:UO-31	-1
core_002	EX_34hpp_e	LE:RPMI-8226	LE:SR	LE:RPMI-8226	LE:SR	1
core_002	EX_34hpp_e	LE:SR	ME:MALME-3M	LE:SR	ME:MALME-3M	-1
core_002	EX_34hpp_e	LE:SR	RE:UO-31	LE:SR	RE:UO-31	-1
core_004	EX_3hanthrn_e	BR:HS 578T	LC:HOP-62	BR:HS 578T	LC:HOP-62	-1
core_004	EX_3hanthrn_e	BR:HS 578T	LC:NCI-H226	BR:HS 578T	LC:NCI-H226	-1
core_004	EX_3hanthrn_e	BR:HS 578T	LE:RPMI-8226	BR:HS 578T	LE:RPMI-8226	-1
core_004	EX_3hanthrn_e	BR:MDA-MB-231	LC:HOP-92	BR:MDA-MB-231	LC:HOP-92	1
core_004	EX_3hanthrn_e	CO:HT29	LC:NCI-H226	CO:HT29	LC:NCI-H226	-1
core_004	EX_3hanthrn_e	CO:HT29	LE:RPMI-8226	CO:HT29	LE:RPMI-8226	-1
core_004	EX_3hanthrn_e	LC:HOP-62	LC:HOP-92	LC:HOP-62	LC:HOP-92	1
core_004	EX_3hanthrn_e	LC:HOP-92	LC:NCI-H226	LC:HOP-92	LC:NCI-H226	-1
core_004	EX_3hanthrn_e	LC:HOP-92	LE:RPMI-8226	LC:HOP-92	LE:RPMI-8226	-1
core_004	EX_3hanthrn_e	LC:NCI-H226	ME:MALME-3M	LC:NCI-H226	ME:MALME-3M	1
core_004	EX_3hanthrn_e	LC:NCI-H226	RE:UO-31	LC:NCI-H226	RE:UO-31	1
core_004	EX_3hanthrn_e	LE:RPMI-8226	ME:MALME-3M	LE:RPMI-8226	ME:MALME-3M	1
core_004	EX_3hanthrn_e	LE:RPMI-8226	RE:UO-31	LE:RPMI-8226	RE:UO-31	1
core_005	EX_3pg_e	BR:HS 578T	CO:HT29	BR:HS 578T	CO:HT29	1
core_005	EX_3pg_e	BR:HS 578T	LC:HOP-62	BR:HS 578T	LC:HOP-62	1
core_005	EX_3pg_e	BR:HS 578T	LC:NCI-H226	BR:HS 578T	LC:NCI-H226	1
core_005	EX_3pg_e	BR:HS 578T	LE:RPMI-8226	BR:HS 578T	LE:RPMI-8226	1
core_005	EX_3pg_e	BR:HS 578T	LE:SR	BR:HS 578T	LE:SR	1
core_005	EX_3pg_e	BR:HS 578T	RE:786-0	BR:HS 578T	RE:786-0	1
core_005	EX_3pg_e	BR:HS 578T	RE:UO-31	BR:HS 578T	RE:UO-31	1
core_006	EX_4abut_e	BR:HS 578T	BR:MDA-MB-231	BR:HS 578T	BR:MDA-MB-231	1
core_006	EX_4abut_e	BR:HS 578T	CO:HT29	BR:HS 578T	CO:HT29	-1
core_006	EX_4abut_e	BR:HS 578T	LC:HOP-62	BR:HS 578T	LC:HOP-62	1
core_006	EX_4abut_e	BR:HS 578T	LC:HOP-92	BR:HS 578T	LC:HOP-92	1
core_006	EX_4abut_e	BR:HS 578T	LC:NCI-H226	BR:HS 578T	LC:NCI-H226	1
core_006	EX_4abut_e	BR:HS 578T	LE:RPMI-8226	BR:HS 578T	LE:RPMI-8226	1
core_006	EX_4abut_e	BR:HS 578T	LE:SR	BR:HS 578T	LE:SR	1
core_006	EX_4abut_e	BR:HS 578T	ME:MALME-3M	BR:HS 578T	ME:MALME-3M	1
core_006	EX_4abut_e	BR:HS 578T	RE:786-0	BR:HS 578T	RE:786-0	1
core_006	EX_4abut_e	BR:HS 578T	RE:UO-31	BR:HS 578T	RE:UO-31	1
core_006	EX_4abut_e	BR:MDA-MB-231	CO:HT29	BR:MDA-MB-231	CO:HT29	-1
core_006	EX_4abut_e	BR:MDA-MB-231	LC:HOP-62	BR:MDA-MB-231	LC:HOP-62	-1
core_006	EX_4abut_e	BR:MDA-MB-231	LC:HOP-92	BR:MDA-MB-231	LC:HOP-92	-1
core_006	EX_4abut_e	BR:MDA-MB-231	LC:NCI-H226	BR:MDA-MB-231	LC:NCI-H226	-1
core_006	EX_4abut_e	BR:MDA-MB-231	LE:RPMI-8226	BR:MDA-MB-231	LE:RPMI-8226	-1
core_006	EX_4abut_e	BR:MDA-MB-231	ME:MALME-3M	BR:MDA-MB-231	ME:MALME-3M	-1
core_006	EX_4abut_e	CO:HT29	LC:HOP-62	CO:HT29	LC:HOP-62	1
core_006	EX_4abut_e	CO:HT29	LC:HOP-92	CO:HT29	LC:HOP-92	1
core_006	EX_4abut_e	CO:HT29	LC:NCI-H226	CO:HT29	LC:NCI-H226	1
core_006	EX_4abut_e	CO:HT29	LE:RPMI-8226	CO:HT29	LE:RPMI-8226	1
core_006	EX_4abut_e	CO:HT29	LE:SR	CO:HT29	LE:SR	1
core_006	EX_4abut_e	CO:HT29	ME:MALME-3M	CO:HT29	ME:MALME-3M	1
core_006	EX_4abut_e	CO:HT29	RE:786-0	CO:HT29	RE:786-0	1
core_006	EX_4abut_e	CO:HT29	RE:UO-31	CO:HT29	RE:UO-31	1
core_006	EX_4abut_e	LC:HOP-62	LC:HOP-92	LC:HOP-62	LC:HOP-92	-1
core_006	EX_4abut_e	LC:HOP-62	LC:NCI-H226	LC:HOP-62	LC:NCI-H226	1
core_006	EX_4abut_e	LC:HOP-62	LE:SR	LC:HOP-62	LE:SR	1
core_006	EX_4abut_e	LC:HOP-62	ME:MALME-3M	LC:HOP-62	ME:MALME-3M	1
core_006	EX_4abut_e	LC:HOP-62	RE:786-0	LC:HOP-62	RE:786-0	1
core_006	EX_4abut_e	LC:HOP-62	RE:UO-31	LC:HOP-62	RE:UO-31	1
core_006	EX_4abut_e	LC:HOP-92	LC:NCI-H226	LC:HOP-92	LC:NCI-H226	1
core_006	EX_4abut_e	LC:HOP-92	LE:RPMI-8226	LC:HOP-92	LE:RPMI-8226	1
core_006	EX_4abut_e	LC:HOP-92	LE:SR	LC:HOP-92	LE:SR	1
core_006	EX_4abut_e	LC:HOP-92	ME:MALME-3M	LC:HOP-92	ME:MALME-3M	1
core_006	EX_4abut_e	LC:HOP-92	RE:786-0	LC:HOP-92	RE:786-0	1
core_006	EX_4abut_e	LC:HOP-92	RE:UO-31	LC:HOP-92	RE:UO-31	1
core_006	EX_4abut_e	LC:NCI-H226	LE:SR	LC:NCI-H226	LE:SR	1
core_006	EX_4abut_e	LC:NCI-H226	RE:786-0	LC:NCI-H226	RE:786-0	1
core_006	EX_4abut_e	LC:NCI-H226	RE:UO-31	LC:NCI-H226	RE:UO-31	1
core_006	EX_4abut_e	LE:RPMI-8226	LE:SR	LE:RPMI-8226	LE:SR	1
core_006	EX_4abut_e	LE:RPMI-8226	RE:786-0	LE:RPMI-8226	RE:786-0	1
core_006	EX_4abut_e	LE:RPMI-8226	RE:UO-31	LE:RPMI-8226	RE:UO-31	1
core_006	EX_4abut_e	LE:SR	ME:MALME-3M	LE:SR	ME:MALME-3M	-1
core_006	EX_4abut_e	ME:MALME-3M	RE:786-0	ME:MALME-3M	RE:786-0	1
core_006	EX_4abut_e	ME:MALME-3M	RE:UO-31	ME:MALME-3M	RE:UO-31	1
core_007	EX_4hbz_e	BR:HS 578T	CO:HT29	BR:HS 578T	CO:HT29	-1
core_007	EX_4hbz_e	BR:HS 578T	ME:MALME-3M	BR:HS 578T	ME:MALME-3M	-1
core_007	EX_4hbz_e	BR:HS 578T	RE:786-0	BR:HS 578T	RE:786-0	-1
core_007	EX_4hbz_e	BR:MDA-MB-231	CO:HT29	BR:MDA-MB-231	CO:HT29	-1
core_007	EX_4hbz_e	BR:MDA-MB-231	LC:HOP-92	BR:MDA-MB-231	LC:HOP-92	1
core_007	EX_4hbz_e	BR:MDA-MB-231	RE:786-0	BR:MDA-MB-231	RE:786-0	-1
core_007	EX_4hbz_e	CO:HT29	LC:HOP-62	CO:HT29	LC:HOP-62	1
core_007	EX_4hbz_e	CO:HT29	LC:HOP-92	CO:HT29	LC:HOP-92	1
core_007	EX_4hbz_e	CO:HT29	LC:NCI-H226	CO:HT29	LC:NCI-H226	1
core_007	EX_4hbz_e	CO:HT29	LE:RPMI-8226	CO:HT29	LE:RPMI-8226	1
core_007	EX_4hbz_e	CO:HT29	LE:SR	CO:HT29	LE:SR	1
core_007	EX_4hbz_e	CO:HT29	ME:MALME-3M	CO:HT29	ME:MALME-3M	1
core_007	EX_4hbz_e	CO:HT29	RE:786-0	CO:HT29	RE:786-0	1
core_007	EX_4hbz_e	CO:HT29	RE:UO-31	CO:HT29	RE:UO-31	1
core_007	EX_4hbz_e	LC:HOP-62	ME:MALME-3M	LC:HOP-62	ME:MALME-3M	-1
core_007	EX_4hbz_e	LC:HOP-62	RE:786-0	LC:HOP-62	RE:786-0	-1
core_007	EX_4hbz_e	LC:HOP-92	LC:NCI-H226	LC:HOP-92	LC:NCI-H226	-1
core_007	EX_4hbz_e	LC:HOP-92	ME:MALME-3M	LC:HOP-92	ME:MALME-3M	-1
core_007	EX_4hbz_e	LC:HOP-92	RE:786-0	LC:HOP-92	RE:786-0	-1
core_007	EX_4hbz_e	LC:NCI-H226	RE:786-0	LC:NCI-H226	RE:786-0	-1
core_007	EX_4hbz_e	LC:NCI-H226	RE:UO-31	LC:NCI-H226	RE:UO-31	1
core_007	EX_4hbz_e	LE:RPMI-8226	ME:MALME-3M	LE:RPMI-8226	ME:MALME-3M	-1
core_007	EX_4hbz_e	LE:RPMI-8226	RE:786-0	LE:RPMI-8226	RE:786-0	-1
core_007	EX_4hbz_e	LE:SR	ME:MALME-3M	LE:SR	ME:MALME-3M	-1
core_007	EX_4hbz_e	LE:SR	RE:786-0	LE:SR	RE:786-0	-1
core_007	EX_4hbz_e	ME:MALME-3M	RE:UO-31	ME:MALME-3M	RE:UO-31	1
core_007	EX_4hbz_e	RE:786-0	RE:UO-31	RE:786-0	RE:UO-31	1
core_011	EX_acac_e	BR:HS 578T	BR:MDA-MB-231	BR:HS 578T	BR:MDA-MB-231	-1
core_011	EX_acac_e	BR:HS 578T	LC:HOP-62	BR:HS 578T	LC:HOP-62	-1
core_011	EX_acac_e	BR:HS 578T	LC:NCI-H226	BR:HS 578T	LC:NCI-H226	-1
core_011	EX_acac_e	BR:HS 578T	LE:RPMI-8226	BR:HS 578T	LE:RPMI-8226	-1
core_011	EX_acac_e	BR:MDA-MB-231	CO:HT29	BR:MDA-MB-231	CO:HT29	1
core_011	EX_acac_e	BR:MDA-MB-231	LC:HOP-92	BR:MDA-MB-231	LC:HOP-92	1
core_011	EX_acac_e	BR:MDA-MB-231	LC:NCI-H226	BR:MDA-MB-231	LC:NCI-H226	-1
core_011	EX_acac_e	BR:MDA-MB-231	LE:RPMI-8226	BR:MDA-MB-231	LE:RPMI-8226	-1
core_011	EX_acac_e	BR:MDA-MB-231	LE:SR	BR:MDA-MB-231	LE:SR	1
core_011	EX_acac_e	BR:MDA-MB-231	ME:MALME-3M	BR:MDA-MB-231	ME:MALME-3M	1
core_011	EX_acac_e	BR:MDA-MB-231	RE:786-0	BR:MDA-MB-231	RE:786-0	1
core_011	EX_acac_e	BR:MDA-MB-231	RE:UO-31	BR:MDA-MB-231	RE:UO-31	1
core_011	EX_acac_e	CO:HT29	LC:HOP-62	CO:HT29	LC:HOP-62	-1
core_011	EX_acac_e	CO:HT29	LC:NCI-H226	CO:HT29	LC:NCI-H226	-1
core_011	EX_acac_e	CO:HT29	LE:RPMI-8226	CO:HT29	LE:RPMI-8226	-1
core_011	EX_acac_e	CO:HT29	RE:UO-31	CO:HT29	RE:UO-31	1
core_011	EX_acac_e	LC:HOP-62	LC:HOP-92	LC:HOP-62	LC:HOP-92	1
core_011	EX_acac_e	LC:HOP-62	LC:NCI-H226	LC:HOP-62	LC:NCI-H226	-1
core_011	EX_acac_e	LC:HOP-62	LE:RPMI-8226	LC:HOP-62	LE:RPMI-8226	-1
core_011	EX_acac_e	LC:HOP-62	LE:SR	LC:HOP-62	LE:SR	1
core_011	EX_acac_e	LC:HOP-62	ME:MALME-3M	LC:HOP-62	ME:MALME-3M	1
core_011	EX_acac_e	LC:HOP-62	RE:786-0	LC:HOP-62	RE:786-0	1
core_011	EX_acac_e	LC:HOP-62	RE:UO-31	LC:HOP-62	RE:UO-31	1
core_011	EX_acac_e	LC:HOP-92	LC:NCI-H226	LC:HOP-92	LC:NCI-H226	-1
core_011	EX_acac_e	LC:HOP-92	LE:RPMI-8226	LC:HOP-92	LE:RPMI-8226	-1
core_011	EX_acac_e	LC:NCI-H226	LE:RPMI-8226	LC:NCI-H226	LE:RPMI-8226	1
core_011	EX_acac_e	LC:NCI-H226	LE:SR	LC:NCI-H226	LE:SR	1
core_011	EX_acac_e	LC:NCI-H226	ME:MALME-3M	LC:NCI-H226	ME:MALME-3M	1
core_011	EX_acac_e	LC:NCI-H226	RE:786-0	LC:NCI-H226	RE:786-0	1
core_011	EX_acac_e	LC:NCI-H226	RE:UO-31	LC:NCI-H226	RE:UO-31	1
core_011	EX_acac_e	LE:RPMI-8226	LE:SR	LE:RPMI-8226	LE:SR	1
core_011	EX_acac_e	LE:RPMI-8226	ME:MALME-3M	LE:RPMI-8226	ME:MALME-3M	1
core_011	EX_acac_e	LE:RPMI-8226	RE:786-0	LE:RPMI-8226	RE:786-0	1
core_011	EX_acac_e	LE:RPMI-8226	RE:UO-31	LE:RPMI-8226	RE:UO-31	1
core_012	EX_ade_e	BR:HS 578T	BR:MDA-MB-231	BR:HS 578T	BR:MDA-MB-231	-1
core_012	EX_ade_e	BR:HS 578T	CO:HT29	BR:HS 578T	CO:HT29	-1
core_012	EX_ade_e	BR:HS 578T	LC:HOP-62	BR:HS 578T	LC:HOP-62	-1
core_012	EX_ade_e	BR:HS 578T	LE:SR	BR:HS 578T	LE:SR	-1
core_012	EX_ade_e	BR:HS 578T	ME:MALME-3M	BR:HS 578T	ME:MALME-3M	-1
core_012	EX_ade_e	BR:HS 578T	RE:786-0	BR:HS 578T	RE:786-0	-1
core_012	EX_ade_e	BR:MDA-MB-231	LC:HOP-92	BR:MDA-MB-231	LC:HOP-92	1
core_012	EX_ade_e	BR:MDA-MB-231	LC:NCI-H226	BR:MDA-MB-231	LC:NCI-H226	1
core_012	EX_ade_e	BR:MDA-MB-231	LE:RPMI-8226	BR:MDA-MB-231	LE:RPMI-8226	1
core_012	EX_ade_e	BR:MDA-MB-231	LE:SR	BR:MDA-MB-231	LE:SR	-1
core_012	EX_ade_e	BR:MDA-MB-231	RE:UO-31	BR:MDA-MB-231	RE:UO-31	1
core_012	EX_ade_e	CO:HT29	LC:HOP-92	CO:HT29	LC:HOP-92	1
core_012	EX_ade_e	CO:HT29	LC:NCI-H226	CO:HT29	LC:NCI-H226	1
core_012	EX_ade_e	CO:HT29	LE:RPMI-8226	CO:HT29	LE:RPMI-8226	1
core_012	EX_ade_e	CO:HT29	LE:SR	CO:HT29	LE:SR	-1
core_012	EX_ade_e	CO:HT29	RE:UO-31	CO:HT29	RE:UO-31	1
core_012	EX_ade_e	LC:HOP-62	LC:HOP-92	LC:HOP-62	LC:HOP-92	1
core_012	EX_ade_e	LC:HOP-62	LE:SR	LC:HOP-62	LE:SR	-1
core_012	EX_ade_e	LC:HOP-92	LE:SR	LC:HOP-92	LE:SR	-1
core_012	EX_ade_e	LC:HOP-92	ME:MALME-3M	LC:HOP-92	ME:MALME-3M	-1
core_012	EX_ade_e	LC:HOP-92	RE:786-0	LC:HOP-92	RE:786-0	-1
core_012	EX_ade_e	LC:NCI-H226	LE:SR	LC:NCI-H226	LE:SR	-1
core_012	EX_ade_e	LC:NCI-H226	ME:MALME-3M	LC:NCI-H226	ME:MALME-3M	-1
core_012	EX_ade_e	LE:RPMI-8226	LE:SR	LE:RPMI-8226	LE:SR	-1
core_012	EX_ade_e	LE:RPMI-8226	ME:MALME-3M	LE:RPMI-8226	ME:MALME-3M	-1
core_012	EX_ade_e	LE:SR	ME:MALME-3M	LE:SR	ME:MALME-3M	1
core_012	EX_ade_e	LE:SR	RE:786-0	LE:SR	RE:786-0	1
core_012	EX_ade_e	LE:SR	RE:UO-31	LE:SR	RE:UO-31	1
core_012	EX_ade_e	ME:MALME-3M	RE:UO-31	ME:MALME-3M	RE:UO-31	1
core_013	EX_adn_e	BR:HS 578T	BR:MDA-MB-231	BR:HS 578T	BR:MDA-MB-231	-1
core_013	EX_adn_e	BR:HS 578T	ME:MALME-3M	BR:HS 578T	ME:MALME-3M	-1
core_013	EX_adn_e	BR:MDA-MB-231	CO:HT29	BR:MDA-MB-231	CO:HT29	1
core_013	EX_adn_e	BR:MDA-MB-231	LC:HOP-62	BR:MDA-MB-231	LC:HOP-62	1
core_013	EX_adn_e	BR:MDA-MB-231	LC:HOP-92	BR:MDA-MB-231	LC:HOP-92	1
core_013	EX_adn_e	BR:MDA-MB-231	LC:NCI-H226	BR:MDA-MB-231	LC:NCI-H226	1
core_013	EX_adn_e	BR:MDA-MB-231	LE:RPMI-8226	BR:MDA-MB-231	LE:RPMI-8226	1
core_013	EX_adn_e	BR:MDA-MB-231	LE:SR	BR:MDA-MB-231	LE:SR	1
core_013	EX_adn_e	BR:MDA-MB-231	ME:MALME-3M	BR:MDA-MB-231	ME:MALME-3M	1
core_013	EX_adn_e	BR:MDA-MB-231	RE:786-0	BR:MDA-MB-231	RE:786-0	1
core_013	EX_adn_e	BR:MDA-MB-231	RE:UO-31	BR:MDA-MB-231	RE:UO-31	1
core_013	EX_adn_e	CO:HT29	LC:HOP-62	CO:HT29	LC:HOP-62	-1
core_013	EX_adn_e	CO:HT29	LC:HOP-92	CO:HT29	LC:HOP-92	-1
core_013	EX_adn_e	CO:HT29	LE:SR	CO:HT29	LE:SR	-1
core_013	EX_adn_e	CO:HT29	ME:MALME-3M	CO:HT29	ME:MALME-3M	-1
core_013	EX_adn_e	LC:HOP-62	LC:NCI-H226	LC:HOP-62	LC:NCI-H226	1
core_013	EX_adn_e	LC:HOP-62	LE:RPMI-8226	LC:HOP-62	LE:RPMI-8226	1
core_013	EX_adn_e	LC:HOP-62	ME:MALME-3M	LC:HOP-62	ME:MALME-3M	-1
core_013	EX_adn_e	LC:HOP-62	RE:786-0	LC:HOP-62	RE:786-0	1
core_013	EX_adn_e	LC:HOP-62	RE:UO-31	LC:HOP-62	RE:UO-31	1
core_013	EX_adn_e	LC:HOP-92	LC:NCI-H226	LC:HOP-92	LC:NCI-H226	1
core_013	EX_adn_e	LC:HOP-92	LE:RPMI-8226	LC:HOP-92	LE:RPMI-8226	1
core_013	EX_adn_e	LC:HOP-92	ME:MALME-3M	LC:HOP-92	ME:MALME-3M	-1
core_013	EX_adn_e	LC:HOP-92	RE:786-0	LC:HOP-92	RE:786-0	1
core_013	EX_adn_e	LC:HOP-92	RE:UO-31	LC:HOP-92	RE:UO-31	1
core_013	EX_adn_e	LC:NCI-H226	LE:SR	LC:NCI-H226	LE:SR	-1
core_013	EX_adn_e	LC:NCI-H226	ME:MALME-3M	LC:NCI-H226	ME:MALME-3M	-1
core_013	EX_adn_e	LE:RPMI-8226	LE:SR	LE:RPMI-8226	LE:SR	-1
core_013	EX_adn_e	LE:RPMI-8226	ME:MALME-3M	LE:RPMI-8226	ME:MALME-3M	-1
core_013	EX_adn_e	LE:SR	ME:MALME-3M	LE:SR	ME:MALME-3M	-1
core_013	EX_adn_e	LE:SR	RE:786-0	LE:SR	RE:786-0	1
core_013	EX_adn_e	LE:SR	RE:UO-31	LE:SR	RE:UO-31	1
core_013	EX_adn_e	ME:MALME-3M	RE:786-0	ME:MALME-3M	RE:786-0	1
core_013	EX_adn_e	ME:MALME-3M	RE:UO-31	ME:MALME-3M	RE:UO-31	1
core_014	EX_ahcys_e	BR:HS 578T	BR:MDA-MB-231	BR:HS 578T	BR:MDA-MB-231	1
core_014	EX_ahcys_e	BR:HS 578T	CO:HT29	BR:HS 578T	CO:HT29	1
core_014	EX_ahcys_e	BR:HS 578T	LC:HOP-62	BR:HS 578T	LC:HOP-62	1
core_014	EX_ahcys_e	BR:HS 578T	LC:HOP-92	BR:HS 578T	LC:HOP-92	1
core_014	EX_ahcys_e	BR:HS 578T	LE:RPMI-8226	BR:HS 578T	LE:RPMI-8226	-1
core_014	EX_ahcys_e	BR:HS 578T	ME:MALME-3M	BR:HS 578T	ME:MALME-3M	1
core_014	EX_ahcys_e	BR:HS 578T	RE:786-0	BR:HS 578T	RE:786-0	1
core_014	EX_ahcys_e	BR:HS 578T	RE:UO-31	BR:HS 578T	RE:UO-31	1
core_014	EX_ahcys_e	BR:MDA-MB-231	LC:NCI-H226	BR:MDA-MB-231	LC:NCI-H226	-1
core_014	EX_ahcys_e	BR:MDA-MB-231	LE:RPMI-8226	BR:MDA-MB-231	LE:RPMI-8226	-1
core_014	EX_ahcys_e	BR:MDA-MB-231	LE:SR	BR:MDA-MB-231	LE:SR	-1
core_014	EX_ahcys_e	BR:MDA-MB-231	ME:MALME-3M	BR:MDA-MB-231	ME:MALME-3M	1
core_014	EX_ahcys_e	BR:MDA-MB-231	RE:786-0	BR:MDA-MB-231	RE:786-0	1
core_014	EX_ahcys_e	CO:HT29	LC:HOP-92	CO:HT29	LC:HOP-92	-1
core_014	EX_ahcys_e	CO:HT29	LC:NCI-H226	CO:HT29	LC:NCI-H226	-1
core_014	EX_ahcys_e	CO:HT29	LE:RPMI-8226	CO:HT29	LE:RPMI-8226	-1
core_014	EX_ahcys_e	CO:HT29	LE:SR	CO:HT29	LE:SR	-1
core_014	EX_ahcys_e	LC:HOP-62	LC:HOP-92	LC:HOP-62	LC:HOP-92	-1
core_014	EX_ahcys_e	LC:HOP-62	LC:NCI-H226	LC:HOP-62	LC:NCI-H226	-1
core_014	EX_ahcys_e	LC:HOP-62	LE:RPMI-8226	LC:HOP-62	LE:RPMI-8226	-1
core_014	EX_ahcys_e	LC:HOP-62	LE:SR	LC:HOP-62	LE:SR	-1
core_014	EX_ahcys_e	LC:HOP-92	LE:RPMI-8226	LC:HOP-92	LE:RPMI-8226	-1
core_014	EX_ahcys_e	LC:HOP-92	LE:SR	LC:HOP-92	LE:SR	-1
core_014	EX_ahcys_e	LC:HOP-92	ME:MALME-3M	LC:HOP-92	ME:MALME-3M	1
core_014	EX_ahcys_e	LC:HOP-92	RE:786-0	LC:HOP-92	RE:786-0	1
core_014	EX_ahcys_e	LC:HOP-92	RE:UO-31	LC:HOP-92	RE:UO-31	1
core_014	EX_ahcys_e	LC:NCI-H226	LE:RPMI-8226	LC:NCI-H226	LE:RPMI-8226	-1
core_014	EX_ahcys_e	LC:NCI-H226	LE:SR	LC:NCI-H226	LE:SR	-1
core_014	EX_ahcys_e	LC:NCI-H226	ME:MALME-3M	LC:NCI-H226	ME:MALME-3M	1
core_014	EX_ahcys_e	LC:NCI-H226	RE:786-0	LC:NCI-H226	RE:786-0	1
core_014	EX_ahcys_e	LC:NCI-H226	RE:UO-31	LC:NCI-H226	RE:UO-31	1
core_014	EX_ahcys_e	LE:RPMI-8226	LE:SR	LE:RPMI-8226	LE:SR	1
